Иксы иксЫ
Отрочество отрОчество
аэропОрты аэропортЫ
бАнты бантЫ
бОроду бородУ
балОванный бАлованный
балУясь бАлуясь
бралА брАла
бралАсь брАлась
бухгАлтеров бухгалтерОв
вернА вЕрна
вероисповЕдание вероисповедАние
взялА взЯла
взялАсь взЯлась
включЁнный вклЮчённый
включИт вклЮчит
влилАсь влИлась
водопровОд водопрОвод
ворвалАсь ворвАлась
воспринЯть воспрИнять
воспринялА воспрИняла
воссоздалА воссоздАла
вручИт врУчит
газопровОд газопрОвод
гналА гнАла
гналАсь гнАлась
граждАнство грАжданство
дОверху довЕрху
дОнизу донИзу
дОсуха досУха
дефИс дЕфис
децимЕтр децИметр
дешевИзна дешевизнА
диспансЕр диспАнсер
доЯр дОяр
добралА добрАла
добралАсь добрАлась
договорЁнность договОрённость
дождалАсь дождАлась
дозИровать дозировАть
дозвонИтся дозвОнится
дозвонЯтся дозвОнятся
докумЕнт докУмент
донЕльзя дОнельзя
досУг дОсуг
еретИк ерЕтик
жалюзИ жАлюзи
ждалА ждАла
жилОсь жИлось
зАгнутый загнУтый
зАгодя загОдя
зАнял занЯл
зАняло занЯло
зАсветло засвЕтло
зАтемно затЕмно
завИдно зАвидно
закУпорив закупОрив
закУпорить закупорИть
занялА занЯла
занятА зАнята
заперлА зАперла
заперлАсь зАперлась
запертА зАперта
заселЁнный засЕлённый
заселенА засЕлена
защемИт защЕмит
звалА звАла
звонИть звОнить
избалОванный избАлованный
исчЕрпать исчерпАть
кУхонный кухОнный
каталОг катАлог
квартАл квАртал
киломЕтр килОметр
клАла клалА
клЕить клеИть
корЫсть кОрысть
кормЯщий кОрмящий
крАлась кралАсь
крАны кранЫ
красИвее красивЕе
красИвейший красивЕйший
кремЕнь крЕмень
кремнЯ крЕмня
кровоточАщий кровотОчащий
лЕкторов лекторОв
лгалА лгАла
лилА лИла
лилАсь лИлась
ловкА лОвка
лыжнЯ лЫжня
мЕстностей местностЕй
миллимЕтр миллИметр
мозаИчный мозАичный
молЯщий мОлящий
мусоропровОд мусорОпровод
нАжитый нажИтый
нАчатый начАтый
нОгтя ногтЯ
навралА наврАла
наделИт надЕлит
надорвалАсь надорвАлась
нажИвший нАживший
нажитА нАжита
назвалАсь назвАлась
накренИтся накрЕнится
налИвший нАливший
налилА налИла
налитА налИта
намЕрение намерЕние
нанЯвшийся нАнявшийся
нарвалА нарвАла
насорИт насОрит
начАв нАчав
начАвший нАчавший
начАвшись нАчавшись
начАть нАчать
начатА нАчата
недУг нЕдуг
некролОг некрОлог
нефтепровОд нефтепрОвод
низведЁнный нИзведённый
новостЕй нОвостей
нормировАть нормИровать
обзвонИт обзвОнит
облегчИт облЕгчит
облилАсь облИлась
обнялАсь обнЯлась
обогналА обогнАла
ободрИть обОдрить
ободралА ободрАла
ободренА ободрЁна
одолжИт одОлжит
озлОбить озлобИть
окружИт окрУжит
опОшлить опошлИть
опломбировАть опломбИровать
оптОвый Оптовый
освЕдомиться осведомИться
отбылА отбЫла
отдалА отдАла
откУпорить откупорИть
отключЁнный отклЮчённый
отозвалА отозвАла
отозвалАсь отозвАлась
пОручни порУчни
пОчестей почестЕй
партЕр пАртер
перезвонИт перезвОнит
перелилА перелИла
плодоносИть плодонОсить
повторЁнный повтОрённый
повторИт повтОрит
поделЁнный подЕлённый
позвалА позвАла
полилА полИла
понЯв пОняв
понЯвший пОнявший
портфЕль пОртфель
послАла послалА
прИбыл прибЫл
прИбыло прибЫло
прИнял принЯл
прИнятый принЯтый
премировАть премИровать
прибЫв прИбыв
прибЫть прИбыть
прибылА прИбыла
придАное прИданое
принУдить принудИть
принЯть прИнять
принялА прИняла
приручЁнный прирУчённый
прожИвший прОживший
прожОрлива прожорлИва
прозорлИва прозОрлива
рвалА рвАла
сОгнутый согнУтый
сантимЕтр сантИметр
свЁкла свеклА
сверлИт свЕрлит
сверлИшь свЕрлишь
сирОты сИроты
слИвовый сливОвый
снялА снЯла
снятА снЯта
созЫв сОзыв
создалА создАла
сорИт сОрит
сорвалА сорвАла
срЕдства средствА
столЯр стОляртОрты тортЫ
убралА убрАла
убыстрИть убЫстрить
углубИть углУбить
укрепИт укрЕпит
формировАть формИровать
цЕнтнер центнЕр
цемЕнт цЕмент
цепОчка цЕпочка
чЕлюстей челюстЕй
чЕрпать черпАть
шАрфы шарфЫ
щЁлкать щелкАть
щемИт щЕмит
